MFCC_1_mean,MFCC_2_mean,MFCC_3_mean,MFCC_4_mean,MFCC_5_mean,MFCC_6_mean,MFCC_7_mean,MFCC_8_mean,MFCC_9_mean,MFCC_10_mean,MFCC_11_mean,MFCC_12_mean,MFCC_13_mean,MFCC_1_std,MFCC_2_std,MFCC_3_std,MFCC_4_std,MFCC_5_std,MFCC_6_std,MFCC_7_std,MFCC_8_std,MFCC_9_std,MFCC_10_std,MFCC_11_std,MFCC_12_std,MFCC_13_std,Mel_1_mean,Mel_2_mean,Mel_3_mean,Mel_4_mean,Mel_5_mean,Mel_6_mean,Mel_7_mean,Mel_8_mean,Mel_9_mean,Mel_10_mean,Mel_11_mean,Mel_12_mean,Mel_13_mean,Mel_14_mean,Mel_15_mean,Mel_16_mean,Mel_17_mean,Mel_18_mean,Mel_19_mean,Mel_20_mean,Mel_21_mean,Mel_22_mean,Mel_23_mean,Mel_24_mean,Mel_25_mean,Mel_26_mean,Mel_27_mean,Mel_28_mean,Mel_29_mean,Mel_30_mean,Mel_31_mean,Mel_32_mean,Mel_33_mean,Mel_34_mean,Mel_35_mean,Mel_36_mean,Mel_37_mean,Mel_38_mean,Mel_39_mean,Mel_40_mean,Mel_1_std,Mel_2_std,Mel_3_std,Mel_4_std,Mel_5_std,Mel_6_std,Mel_7_std,Mel_8_std,Mel_9_std,Mel_10_std,Mel_11_std,Mel_12_std,Mel_13_std,Mel_14_std,Mel_15_std,Mel_16_std,Mel_17_std,Mel_18_std,Mel_19_std,Mel_20_std,Mel_21_std,Mel_22_std,Mel_23_std,Mel_24_std,Mel_25_std,Mel_26_std,Mel_27_std,Mel_28_std,Mel_29_std,Mel_30_std,Mel_31_std,Mel_32_std,Mel_33_std,Mel_34_std,Mel_35_std,Mel_36_std,Mel_37_std,Mel_38_std,Mel_39_std,Mel_40_std,Chroma_1_mean,Chroma_2_mean,Chroma_3_mean,Chroma_4_mean,Chroma_5_mean,Chroma_6_mean,Chroma_7_mean,Chroma_8_mean,Chroma_9_mean,Chroma_10_mean,Chroma_11_mean,Chroma_12_mean,Chroma_1_std,Chroma_2_std,Chroma_3_std,Chroma_4_std,Chroma_5_std,Chroma_6_std,Chroma_7_std,Chroma_8_std,Chroma_9_std,Chroma_10_std,Chroma_11_std,Chroma_12_std,Label
-211.80904,100.98999,19.580244,29.150085,-8.469731,1.2050695,-19.351604,-11.418967,-16.832483,-10.071862,-2.663026,-4.7862597,-7.549191,139.98753,52.384705,32.80316,25.21719,22.019081,16.29992,17.950077,13.80842,18.356527,9.8901005,10.205189,8.460499,10.014055,4.528193,20.333807,49.95284,82.47124,57.595776,119.02381,52.009987,12.41806,10.581763,2.1312287,1.2792609,1.2276598,0.9883438,0.8810889,0.9061294,0.93461436,0.8246921,1.864414,0.7599897,0.3208437,0.21342897,0.10651347,0.16384076,0.16169508,0.1785945,0.21133457,0.057905104,0.023718374,0.03846005,0.07609792,0.05041815,0.07163863,0.06505721,0.057457067,0.057450972,0.02592046,0.007929649,0.015819326,0.009978666,0.00344346,7.7949214,28.720598,93.151634,117.94933,79.66862,224.3794,96.12815,28.090288,25.000183,6.1724834,4.4641457,3.1317258,2.3160484,2.0160036,2.1562142,1.8346288,2.5223246,7.2162147,2.7778935,0.8228263,0.6825289,0.25274354,0.36389518,0.36824805,0.29096392,0.34253353,0.11807472,0.05728266,0.10454335,0.20942521,0.08878086,0.10295373,0.11101329,0.13849574,0.14792831,0.066407256,0.021312617,0.042726766,0.026590398,0.010726303,0.38803005,0.28294194,0.26379475,0.2651349,0.23443277,0.23242457,0.24115917,0.30216998,0.32628462,0.4460815,0.705345,0.57749003,0.30593267,0.29264528,0.27994168,0.2795834,0.23904487,0.23919426,0.2160724,0.2837153,0.28182516,0.28682795,0.330771,0.32130662,AndresCalzada
-296.98502,113.42928,6.085998,45.852634,-13.06737,16.40826,-18.100348,-5.329472,-17.428616,-8.938633,-16.851835,5.294287,-14.121896,148.27084,54.093822,23.17697,29.332924,19.768932,14.4562,24.379097,9.013817,15.031684,12.110751,14.56867,6.283606,9.8806925,2.9188254,6.3305407,19.494259,16.898354,20.079302,10.197091,2.6931205,1.5119464,0.20645545,0.3417623,0.4688608,0.2559765,0.16293886,0.23488633,0.26357844,0.48402464,0.12840769,0.05823659,0.034952432,0.020144101,0.034945525,0.03804376,0.040892996,0.041060574,0.010882742,0.0051796483,0.0107617,0.01778347,0.014093538,0.017051535,0.01248065,0.0100006545,0.011313983,0.0048370454,0.0015054003,0.0035293894,0.0023388818,0.0007227648,1.8560324e-05,7.2997373e-09,3.3437076,8.009083,29.44595,26.009071,28.397068,16.072136,4.0779524,3.1256971,0.35359555,0.9899785,1.4506636,0.49267092,0.29214334,0.43363827,0.68760854,1.3644377,0.310174,0.11715239,0.07053354,0.038381677,0.060736354,0.075556956,0.058630407,0.053566024,0.015967442,0.010963654,0.02642261,0.041789334,0.024782095,0.017927073,0.016049212,0.017190792,0.021705246,0.0093963435,0.0027843516,0.007866452,0.005283541,0.0016867534,4.0987987e-05,1.9874022e-09,0.3111779,0.29737252,0.2379912,0.26013437,0.3726971,0.3404871,0.49482113,0.6932185,0.5189884,0.40671828,0.27986178,0.25227687,0.2877167,0.27859792,0.24140811,0.23215586,0.33675566,0.26559722,0.3062018,0.31990746,0.3248152,0.29963762,0.21166648,0.23956133,AndresCalzada
-125.247314,62.008385,22.717709,16.145748,-1.125535,-4.278227,-12.390241,-11.901363,-14.491509,-9.475314,-0.677999,-5.7103157,-4.503604,67.040215,45.72945,18.492493,21.249538,12.785597,13.5359125,15.04884,13.999792,13.932716,10.016293,6.2044997,7.580137,6.8314085,4.563902,20.48359,50.42609,83.17646,58.14155,120.27694,52.337734,12.476946,10.712959,2.191196,1.3024265,1.2626581,1.0144049,0.8809777,0.93299675,0.9589206,0.8408405,1.902455,0.7807848,0.33245748,0.22937456,0.11817471,0.1737649,0.17102164,0.18963626,0.22238827,0.0686058,0.035144124,0.05019278,0.0870343,0.061633494,0.08225863,0.07301518,0.06621553,0.06660075,0.035482436,0.02031949,0.025644219,0.020676607,0.016267423,7.8279967,29.118174,94.08206,118.97221,80.333885,225.96355,96.49316,28.214247,25.3068,6.3311296,4.5092,3.2018783,2.355376,1.9742517,2.1998231,1.8536668,2.521156,7.330406,2.815459,0.81624687,0.70015204,0.24522431,0.3578588,0.36311978,0.28788942,0.34138218,0.11187993,0.056214105,0.099583745,0.1998926,0.08337203,0.09956325,0.10535579,0.13437377,0.1441554,0.058511015,0.019216012,0.03419567,0.021981906,0.010740664,0.5170656,0.39249548,0.33943418,0.35505953,0.35237062,0.31772444,0.3381244,0.38982746,0.4266699,0.4379687,0.6323133,0.6669136,0.29488146,0.28066415,0.26413342,0.270069,0.27517167,0.24748456,0.23840527,0.28617224,0.30068183,0.27777678,0.28949773,0.33838424,AndresCalzada
-222.23328,110.66131,-6.835756,53.322666,-21.121214,27.163157,-29.038591,9.495079,-28.350325,-0.4047028,-25.328762,8.710523,-15.901995,62.38499,47.774746,15.050545,22.272415,14.115809,14.258577,14.371202,10.608483,9.691619,13.949782,13.588693,7.6051574,8.3555765,3.7766001,6.4769197,20.878563,15.32438,21.416195,7.7367635,2.4597661,1.3444625,0.33650964,0.35104898,0.22598395,0.1590545,0.21209724,0.20135054,0.2871195,0.34550846,0.115429536,0.050693456,0.03249384,0.039666437,0.04224704,0.049265474,0.052074496,0.039726164,0.009383036,0.006914527,0.013424836,0.01916043,0.0137312785,0.016938176,0.017207937,0.013479811,0.010776919,0.004171899,0.0038009074,0.0049855937,0.002778386,0.00089517364,3.0431547e-06,1.5197762e-07,5.311211,6.3844604,24.494873,16.79398,24.292795,8.757007,3.5231307,2.6829116,0.7811308,0.66757536,0.380402,0.25564215,0.35446247,0.37017155,0.75668305,0.87121445,0.24435905,0.079407185,0.0437761,0.06491338,0.0632084,0.0815486,0.05256217,0.060089044,0.009837712,0.008281502,0.021540934,0.031114563,0.011023226,0.014798416,0.034604203,0.029406823,0.022075582,0.005520059,0.0043127774,0.0072501427,0.0025570453,0.00063429255,1.9135214e-06,7.031606e-07,0.32856005,0.29258654,0.28145158,0.3129766,0.35723406,0.42748192,0.5542824,0.58258975,0.48981908,0.4525371,0.3127164,0.29297775,0.26240376,0.2649473,0.25329727,0.2527099,0.28471735,0.30798027,0.30289406,0.31335217,0.27916357,0.3088799,0.23918489,0.2972973,AndresCalzada
-185.96785,57.685295,21.540583,14.876113,-1.6425422,-4.553245,-12.918058,-11.552648,-13.929735,-9.269846,-0.6030699,-5.077249,-3.1623673,125.620316,46.312233,19.334936,19.073532,12.524193,12.290775,16.215431,13.323149,12.985403,10.302165,5.6243725,8.746716,7.005909,2.9419944,8.25143,15.344597,25.259398,21.05408,41.204086,20.190042,4.204052,2.7943492,0.7879875,0.51142275,0.43720698,0.3568258,0.39536643,0.33223304,0.34405094,0.3062497,0.6707255,0.2731475,0.119465835,0.097922996,0.03902277,0.0714679,0.07352904,0.08477637,0.09470871,0.03279764,0.012779987,0.02095645,0.033878032,0.027063545,0.033131663,0.031323113,0.029002313,0.027928052,0.017697994,0.00951984,0.012391347,0.010592084,0.0082816705,5.9272494,12.67735,24.769009,35.83652,28.120844,71.061165,34.396988,8.151681,4.8890843,1.8009847,1.5127016,0.96432024,0.7024122,0.8317663,0.7073145,0.6648646,0.8518786,2.000947,0.8137687,0.23425156,0.2282682,0.07316555,0.13417086,0.13692641,0.12310377,0.136966,0.049678445,0.011879842,0.029868288,0.059204746,0.031769942,0.032349415,0.038130954,0.051514536,0.050100252,0.026512606,0.0060847397,0.013686487,0.009561267,0.004914911,0.44353348,0.31004474,0.24869494,0.26648486,0.27111512,0.30529565,0.32754666,0.3625471,0.39671525,0.5512123,0.6509202,0.52786297,0.34151036,0.27457723,0.21781273,0.21155941,0.22999898,0.26679888,0.2672378,0.24890873,0.28259584,0.31706426,0.3550962,0.32955176,AndresCalzada
-187.20074,72.45324,24.593168,24.412458,-1.668651,-2.2276514,-14.923583,-10.555043,-14.892035,-9.976114,1.1379212,-5.321271,-3.377886,102.9184,48.502327,23.54374,22.75907,15.550565,13.236075,17.658854,14.258247,14.363279,10.510762,7.8078876,8.743151,8.394662,3.2844627,12.236823,33.091812,39.2803,34.08169,66.00328,30.78652,6.848903,6.1796064,1.2296323,0.73542416,0.8306997,0.6594295,0.55443066,0.58349454,0.57198656,0.4664436,1.0628604,0.46233195,0.18523358,0.11230192,0.061310045,0.09282852,0.10821711,0.113802925,0.11722892,0.031204823,0.015705088,0.022092693,0.03304899,0.024649056,0.037529215,0.03637883,0.027499711,0.023019379,0.012510671,0.0052294126,0.007182692,0.005234266,0.003242628,6.221641,18.107254,66.1449,57.95424,56.299232,119.48756,52.853413,18.163013,16.593807,3.376077,2.329586,2.147471,1.6337827,1.3062639,1.3837357,1.1190454,1.4154991,4.303483,1.7971025,0.44805196,0.27683353,0.13824205,0.20485786,0.25797325,0.20906952,0.17602748,0.047979463,0.02928397,0.042298824,0.063984774,0.027020264,0.043401,0.051937897,0.05141088,0.04755281,0.023775315,0.007426671,0.011302723,0.007186002,0.0034539462,0.53078413,0.41749084,0.32155237,0.28243256,0.31464845,0.27729455,0.2970171,0.33670905,0.42030248,0.4317898,0.6755201,0.6640547,0.3316489,0.3094357,0.29148394,0.25343478,0.26553795,0.24035446,0.24955393,0.25745684,0.31949544,0.2830257,0.29945204,0.32420093,AndresCalzada
-213.3791,113.79073,14.555385,31.010904,-8.843645,4.7507257,-20.252811,-8.629298,-18.008165,-10.002147,-4.0345044,-1.540979,-10.321104,126.65223,43.1553,27.464836,24.331245,20.53306,13.568973,19.543509,12.573528,18.613173,8.7632065,10.18609,7.6959877,9.910843,4.3549023,17.052975,44.059,62.141266,46.729027,99.41655,30.562168,8.81256,6.8881416,1.1566005,0.99154013,1.0364771,0.7367741,0.7195598,0.7213876,0.7317487,0.808408,1.3206398,0.35160756,0.2096376,0.10632782,0.09501617,0.13141246,0.13588634,0.15578446,0.13162991,0.024579741,0.020464031,0.037708163,0.049284514,0.032818176,0.045003563,0.032432675,0.026877614,0.028889738,0.006690314,0.0044621285,0.007667633,0.0033127915,0.0007254704,7.2681255,25.06183,82.16267,92.1099,70.09938,202.70233,54.913002,16.193535,16.550686,2.655467,3.332714,2.9805026,1.5829586,1.6081154,1.6073091,1.4506837,2.9639049,4.6897984,1.1322404,0.46990615,0.23547275,0.21533108,0.29559445,0.30824658,0.216724,0.22447129,0.044828333,0.051849797,0.101472326,0.11628887,0.04890105,0.06352202,0.05057987,0.053565104,0.063223526,0.013710517,0.008001719,0.015543397,0.0072569354,0.0017322816,0.40320605,0.2836205,0.26079977,0.2416926,0.23508611,0.24262896,0.24731179,0.28718293,0.31992516,0.4365571,0.6998966,0.5966283,0.3228966,0.28894684,0.2816485,0.24064769,0.24089643,0.24521758,0.1952753,0.27976176,0.29162115,0.2515373,0.3164365,0.3537736,AndresCalzada
-242.3625,135.58574,9.722073,37.897556,-8.652003,13.02489,-17.472168,-0.62941045,-16.05981,-8.195908,-6.3051624,10.996233,-12.680046,111.236176,56.46775,18.607038,26.054068,15.149642,12.446715,19.560066,16.626736,12.631362,10.455738,9.85103,8.401087,9.4447155,21.358969,24.422594,34.14724,19.668661,29.300741,24.673046,4.9464407,7.0794334,1.0825026,0.61104155,0.5897071,0.17161323,0.21861559,0.35945153,0.2396805,0.17249788,0.15819184,0.06386173,0.0637915,0.048908655,0.02998396,0.04347431,0.027706988,0.03721533,0.06713932,0.012376064,0.0037420967,0.003525105,0.012920837,0.034252398,0.021376519,0.017531542,0.028993819,0.019908428,0.00970364,0.003900257,0.0034174214,0.0022729016,0.00065104815,1.23174295e-05,30.676641,31.378382,44.543926,24.688953,44.09861,39.222454,6.2329493,13.311408,3.1915414,1.9518863,1.8522239,0.3648496,0.43027073,0.7902516,0.4700354,0.39770508,0.38613483,0.13644277,0.14009413,0.099733226,0.046078533,0.0684841,0.04258853,0.043791905,0.09963595,0.017934311,0.0043358956,0.003846985,0.01746158,0.057043135,0.02932102,0.032614306,0.07269148,0.039000437,0.01731541,0.0073381653,0.005490194,0.003743278,0.0011629174,2.2384744e-05,0.1731775,0.2529607,0.39248005,0.25718907,0.19421005,0.24647644,0.31378216,0.5071229,0.46494898,0.5111642,0.46075138,0.26739004,0.21000344,0.24952966,0.2949222,0.23823725,0.22959395,0.2673141,0.19221362,0.38811257,0.29609022,0.347354,0.34215394,0.18784171,AndresCalzada
-93.11652,76.26204,30.654726,18.954058,0.612601,-1.4512769,-14.977851,-15.369287,-17.37313,-11.983609,-2.0216963,-2.9525578,-4.442001,52.3925,41.269955,20.933903,24.062397,13.388689,11.759485,11.808936,11.589308,10.469133,9.642662,7.662953,7.4323497,6.808572,31.17767,85.78093,80.06826,89.348,68.966515,103.889824,72.2839,12.587477,5.6163473,2.2525191,1.4244698,1.5514177,1.0113544,1.018942,1.5406028,2.3090897,1.6381584,2.3612802,0.9683908,0.30266124,0.2964462,0.15582535,0.21930622,0.17279284,0.098626606,0.2192102,0.113139555,0.043967247,0.04800259,0.07522257,0.11403684,0.14162974,0.06537087,0.1159739,0.13302082,0.052212726,0.026472772,0.026215196,0.023775674,0.021034418,43.364536,96.68547,99.37735,119.48522,82.15801,120.38967,134.2896,23.652468,8.336151,4.8350525,3.6289585,3.4099536,2.1583974,1.8493282,2.7069404,4.664151,4.172167,7.9002366,3.2335522,0.55051535,0.6978593,0.3361422,0.4217059,0.3016642,0.10885652,0.33267787,0.19587405,0.046931215,0.042594995,0.075034566,0.13804963,0.2852875,0.08282543,0.3036156,0.30663714,0.06518546,0.011156119,0.0075203897,0.00587355,0.0043144096,0.41272914,0.29271418,0.30731097,0.40136307,0.36263555,0.3390431,0.37636352,0.33566454,0.33447668,0.44665048,0.67109144,0.62092876,0.31842223,0.27338904,0.28572717,0.368537,0.30307525,0.27406633,0.33058572,0.32796326,0.31020087,0.30713168,0.33054614,0.3245784,AndresCalzada
-272.001,113.735535,20.614761,26.582928,-6.6224422,1.5916984,-32.845543,-6.801244,-16.163366,-5.4302855,3.805133,-7.8198357,-1.0645944,152.7941,53.656097,31.345865,20.810478,17.076653,8.227442,23.273094,14.560598,11.465358,7.9107375,8.026371,9.129097,8.82556,2.9788265,8.308531,7.416197,17.374298,6.842875,17.846579,13.201162,3.8059611,0.8090641,1.2289983,0.26346308,0.17848866,0.08554757,0.13803433,0.12688363,0.2584562,0.1980074,0.22483021,0.49164975,0.05966348,0.044945046,0.029917717,0.018159328,0.0157673,0.016692251,0.027442263,0.04136193,0.007385983,0.0018242017,0.0053705876,0.028869854,0.047675245,0.019523336,0.020918474,0.014285377,0.009557579,0.0021559016,0.0004894108,0.0008757322,0.00041878066,5.7365026,12.166035,9.603394,24.074387,7.4128737,21.701939,17.831274,8.399063,1.0438517,2.1395285,0.4090937,0.43360415,0.19855528,0.25207382,0.25650534,0.4482588,0.3411963,0.47702834,1.1832418,0.085804895,0.06902169,0.038650207,0.035667937,0.01994778,0.01967294,0.03984829,0.09932481,0.013429119,0.002987124,0.012432479,0.06339482,0.08684598,0.025488816,0.047592003,0.028933184,0.019388895,0.003282568,0.00071987597,0.0016351127,0.00073907466,0.6615262,0.48489082,0.4291023,0.36541805,0.23812653,0.2101898,0.22671051,0.25683278,0.20435666,0.35459015,0.5040916,0.6327894,0.32606128,0.28149945,0.31121856,0.3464381,0.25011337,0.21011616,0.18869358,0.25826538,0.18596642,0.2520807,0.29639074,0.2911268,AndresCalzada
